# Meteoric Engine 脚本兼容入口基线 —— 自动生成，请勿手改
# generator: tools/contract/gen_script_surface.py
# schema: 1
# columns: kind<TAB>name<TAB>source_location
# counts: lua_unique=222 hscript_unique=183 pairs_unique=405 bare_name_unique=379 registrations=406 dynamic_sites=4
# 口径: pairs_unique = 唯一 (kind,name) 对数（= 契约条目数）；bare_name_unique = 跨命名空间去重后的裸名数（Lua 与 HScript 有 26 个同名，属两份独立契约）
# dynamic_sites: source/psychlua/FunkinLua.hx:112, source/psychlua/FunkinLua.hx:392, source/psychlua/HScript.hx:501, source/psychlua/MenuScript.hx:203
# 动态点口径: 名字非字面量（运行期由脚本经 FunkinLua.customFunctions / MenuScript.addLocalCallback 注册），基线只冻结内建字面量面。
# multi_site: lua.noteTweenAngle
# kind=lua    : source/psychlua/** 下 Lua_helper.add_callback 的字符串字面量
# kind=hscript: source/psychlua/HScript.hx 的 set('…') 预设变量
# 不变量：本文件中的名字只增不减；删除或改名 = 破坏 mod 兼容，必须人工评审。
hscript	Matrix	source/psychlua/HScript.hx:283
hscript	Md5	source/psychlua/HScript.hx:269
hscript	Mods	source/psychlua/HScript.hx:198
hscript	MouseEvent	source/psychlua/HScript.hx:303
hscript	MovieClip	source/psychlua/HScript.hx:296
hscript	MusicBeatState	source/psychlua/HScript.hx:199
hscript	MusicBeatSubstate	source/psychlua/HScript.hx:200
hscript	NONE	source/psychlua/HScript.hx:253
hscript	Note	source/psychlua/HScript.hx:99
hscript	OUTLINE	source/psychlua/HScript.hx:250
hscript	OUTLINE_FAST	source/psychlua/HScript.hx:251
hscript	ObjectMap	source/psychlua/HScript.hx:257
hscript	Output	source/psychlua/HScript.hx:265
hscript	Paths	source/psychlua/HScript.hx:95
hscript	PlayState	source/psychlua/HScript.hx:94
hscript	Point	source/psychlua/HScript.hx:284
hscript	Process	source/psychlua/HScript.hx:280
hscript	ProgressEvent	source/psychlua/HScript.hx:309
hscript	RIGHT	source/psychlua/HScript.hx:249
hscript	Rectangle	source/psychlua/HScript.hx:285
hscript	Reflect	source/psychlua/HScript.hx:141
hscript	SHADOW	source/psychlua/HScript.hx:252
hscript	SecurityErrorEvent	source/psychlua/HScript.hx:308
hscript	Sha1	source/psychlua/HScript.hx:270
hscript	Sha256	source/psychlua/HScript.hx:271
hscript	Shader	source/psychlua/HScript.hx:297
hscript	ShaderFilter	source/psychlua/HScript.hx:105
hscript	ShaderInput	source/psychlua/HScript.hx:299
hscript	ShaderParameter	source/psychlua/HScript.hx:298
hscript	SortedList	source/psychlua/HScript.hx:261
hscript	Sprite	source/psychlua/HScript.hx:291
hscript	Stage	source/psychlua/HScript.hx:292
